child_name,parent_name
Cleft lip with or without cleft palate,Orofacial clefts
Orofacial clefts,malformations
Gastrointestinal anomalies,malformations
Congenital malformations of oesophagus,Gastrointestinal anomalies
Congenital absence atresia and stenosis of small intestine,Gastrointestinal anomalies
Congenital absence atresia and stenosis of large intestine,Gastrointestinal anomalies
Genital anomalies,malformations
Congenital anomalies of kidney and urinary tract CAKUT,malformations
Cystic kidney disease,Congenital anomalies of kidney and urinary tract CAKUT
Congenital obstructive defects of renal pelvis and congenital malformations of ureter,Congenital anomalies of kidney and urinary tract CAKUT
Other congenital malformations of kidney,Congenital anomalies of kidney and urinary tract CAKUT
Other congenital malformations of urinary system,Congenital anomalies of kidney and urinary tract CAKUT
Limb anomalies,malformations
Limb reduction defects LRD,Limb anomalies
Other anomalies syndromes,malformations
Nervous system anomalies,malformations
malformations,malformations
Eye anomalies,malformations
Ear face and neck anomalies,malformations
Respiratory anomalies,malformations
Orofacial clefts,malformations
Gastrointestinal anomalies,malformations
Congenital anomalies of kidney and urinary tract CAKUT,malformations
Limb anomalies,malformations
malformations,
