child_name,parent_name
Congenital malformation of tricuspid valve unspecified,Congenital malformations of pulmonary and tricuspid valves
Congenital insufficiency of aortic valve,Congenital malformations of aortic and mitral valves
Congenital mitral insufficiency,Congenital malformations of aortic and mitral valves
Other congenital malformations of aortic and mitral valves,Congenital malformations of aortic and mitral valves
Congenital malformation of aortic and mitral valves unspecified,Congenital malformations of aortic and mitral valves
Dextrocardia,Other congenital malformations of heart
Laevocardia,Other congenital malformations of heart
Cor triatriatum,Severe congenital heart defects
Pulmonary infundibular stenosis,Other congenital malformations of heart
Congenital subaortic stenosis,Severe congenital heart defects
Malformation of coronary vessels,Severe congenital heart defects
Other specified congenital malformations of heart,Other congenital malformations of heart
Congenital malformation of heart unspecified,Other congenital malformations of heart
Stenosis of aorta,Severe congenital heart defects
Other congenital malformations of aorta,Congenital malformations of great arteries
Atresia of pulmonary artery,Congenital malformations of great arteries
Stenosis of pulmonary artery,Congenital malformations of great arteries
Other congenital malformations of pulmonary artery,Congenital malformations of great arteries
Other congenital malformations of great arteries,Congenital malformations of great arteries
Congenital malformation of great arteries unspecified,Congenital malformations of great arteries
Congenital stenosis of vena cava,Congenital malformations of great veins
Partial anomalous pulmonary venous connection,Severe congenital heart defects
Anomalous pulmonary venous connection unspecified,Congenital malformations of great veins
Anomalous portal venous connection,Congenital malformations of great veins
Portal veinhepatic artery fistula,Congenital malformations of great veins
Other congenital malformations of great veins,Congenital malformations of great veins
Congenital malformation of great vein unspecified,Congenital malformations of great veins
Choanal stenosis or atresia,Respiratory anomalies
Other congenital malformations of trachea,Congenital malformations of trachea and bronchus
Congenital stenosis of bronchus,Congenital malformations of trachea and bronchus
Other congenital malformations of bronchus,Congenital malformations of trachea and bronchus
Congenital cystic lung,Congenital malformations of lung
Sequestration of lung,Congenital malformations of lung
Agenesis of lung,Congenital malformations of lung
Congenital bronchiectasis,Congenital malformations of lung
Ectopic tissue in lung,Congenital malformations of lung
Congenital pulmonary airway malformations CPAM,Other congenital malformations of lung
Congenital malformation of lung unspecified,Congenital malformations of lung
Anomaly of pleura,Other congenital malformations of respiratory system
Congenital cyst of mediastinum,Other congenital malformations of respiratory system
Other specified congenital malformations of respiratory system,Other congenital malformations of respiratory system
Congenital malformation of respiratory system unspecified,Other congenital malformations of respiratory system
Cleft lip bilateral,Cleft lip
Cleft lip median,Cleft lip
Cleft lip unilateral,Cleft lip
Cleft hard palate with bilateral cleft lip,Cleft palate with cleft lip
Cleft hard palate with unilateral cleft lip,Cleft palate with cleft lip
Cleft soft palate with bilateral cleft lip,Cleft palate with cleft lip
Cleft soft palate with unilateral cleft lip,Cleft palate with cleft lip
Cleft hard and soft palate with bilateral cleft lip,Cleft palate with cleft lip
Cleft hard and soft palate with unilateral cleft lip,Cleft palate with cleft lip
Unspecified cleft palate with bilateral cleft lip,Cleft palate with cleft lip
Unspecified cleft palate with unilateral cleft lip,Cleft palate with cleft lip
Cleft hard palate,Cleft palate
Cleft soft palate,Cleft palate
Cleft hard palate with cleft soft palate,Cleft palate
Cleft palate unspecified,Cleft palate
Congenital malformations of lips not elsewhere classified,Other congenital malformations of tongue mouth and pharynx
Other congenital malformations of tongue,Other congenital malformations of tongue mouth and pharynx
Congenital malformations of salivary glands and ducts,Other congenital malformations of tongue mouth and pharynx
Congenital malformations of palate not elsewhere classified,Other congenital malformations of tongue mouth and pharynx
Other congenital malformations of mouth,Other congenital malformations of tongue mouth and pharynx
Pharyngeal pouch,Other congenital malformations of tongue mouth and pharynx
Other congenital malformations of pharynx,Other congenital malformations of tongue mouth and pharynx
Atresia of oesophagus without fistula,Oesophageal atresia with or without tracheooesophageal fistula
Atresia of oesophagus with tracheooesophageal fistula,Oesophageal atresia with or without tracheooesophageal fistula
Congenital tracheooesophageal fistula without atresia,Congenital malformations of oesophagus
Congenital stenosis and stricture of oesophagus,Congenital malformations of oesophagus
Congenital oesophageal web,Congenital malformations of oesophagus
Congenital dilatation of oesophagus,Congenital malformations of oesophagus
Diverticulum of oesophagus,Congenital malformations of oesophagus
Other congenital malformations of oesophagus,Congenital malformations of oesophagus
Congenital malformation of oesophagus unspecified,Congenital malformations of oesophagus
Other specified congenital malformations of stomach,Other congenital malformations of upper alimentary tract
Congenital malformation of stomach unspecified,Other congenital malformations of upper alimentary tract
Other specified congenital malformations of upper alimentary tract,Other congenital malformations of upper alimentary tract
Congenital malformation of upper alimentary tract unspecified,Other congenital malformations of upper alimentary tract
Duodenal atresia or stenosis,Gastrointestinal anomalies
Congenital absence atresia and stenosis of jejunum,Atresia or stenosis of other parts of small intestine
Congenital absence atresia and stenosis of ileum,Atresia or stenosis of other parts of small intestine
Congenital absence atresia and stenosis of other specified parts of small intestine,Atresia or stenosis of other parts of small intestine
Congenital absence atresia and stenosis of small intestine part unspecified,Gastrointestinal anomalies
Congenital absence atresia and stenosis of rectum with fistula,Anorectal atresia or stenosis
Congenital absence atresia and stenosis of rectum without fistula,Anorectal atresia or stenosis
Congenital absence atresia and stenosis of anus with fistula,Anorectal atresia or stenosis
Congenital absence atresia and stenosis of anus without fistula,Anorectal atresia or stenosis
Congenital absence atresia and stenosis of other parts of large intestine,Gastrointestinal anomalies
Congenital absence atresia and stenosis of large intestine part unspecified,Gastrointestinal anomalies
Hirschsprungs disease,Other congenital malformations of intestine
Other congenital functional disorders of colon,Other congenital malformations of intestine
Anomalies of intestinal fixation,Other congenital malformations of intestine
Duplication of intestine,Other congenital malformations of intestine
Ectopic anus,Other congenital malformations of intestine
Congenital fistula of rectum and anus,Other congenital malformations of intestine
Persistent cloaca,Other congenital malformations of intestine
Other specified congenital malformations of intestine,Other congenital malformations of intestine
Congenital malformation of intestine unspecified,Other congenital malformations of intestine
Agenesis aplasia and hypoplasia of gallbladder,Congenital malformations of gallbladder bile ducts and liver
